,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os
638,2016-06-16,0.0003,0.0003,0.0003,0.0003,0.0003,"398,411",0.0,0,2.771075910371545e-05,0.0,0.0,0.4999999999999998,-0.0,100.0
639,2016-06-17,0.0003,0.0003,0.0003,0.0003,0.0003,"688,175",0.0,0,2.775436998245169e-05,0.0,0.0,0.4999999999999998,-0.0,100.0
640,2016-06-18,0.0003,0.0003,0.0003,0.0003,0.0003,"303,988",0.0,0,2.747224893322848e-05,0.0,0.0,0.4999999999999998,-0.0,100.0
641,2016-06-19,0.0003,0.0003,0.0003,0.0003,0.0003,"442,660",0.0,0,2.6938139861236205e-05,0.0,0.0,0.0,-0.0,100.0
642,2016-06-20,0.0003,0.0003,0.0003,0.0003,0.0003,"516,209",0.0,0,2.621269098874952e-05,0.0,0.0,0.0,-0.0,100.0
643,2016-06-21,0.0003,0.0003,0.0003,0.0003,0.0003,"662,975",0.0,0,2.534559923977848e-05,0.0,0.0,0.0,-0.0,100.0
644,2016-06-22,0.0003,0.0003,0.0003,0.0003,0.0003,"441,160",0.0,0,2.4377415114632732e-05,0.0,0.0,0.0,-0.0,100.0
645,2016-06-23,0.0003,0.0003,0.0002,0.0003,0.0003,"501,034",0.0,0,2.3341060998183737e-05,0.0,0.0,0.0,0,0
646,2016-06-24,0.0003,0.0003,0.0003,0.0003,0.0003,"459,727",0.0,0,2.2263107647710204e-05,0.0,0.0,0.0,0,0
647,2016-06-25,0.0003,0.0003,0.0003,0.0003,0.0003,"338,125",0.0,0,2.1164846673433677e-05,0.0,0.0,0.0,0,0
648,2016-06-26,0.0003,0.0003,0.0003,0.0003,0.0003,"234,233",0.0,0,2.0063190962266197e-05,0.0,0.0,0.0,0,0
649,2016-06-27,0.0003,0.0003,0.0003,0.0003,0.0003,"171,751",0.0,0,1.8971430037992363e-05,0.0,0.0,0.0,0,0
650,2016-06-28,0.0003,0.0003,0.0003,0.0003,0.0003,"691,171",0.0,0,1.7899863159567082e-05,0.0,0.0,0.0,0,0
651,2016-06-29,0.0003,0.0003,0.0003,0.0003,0.0003,"351,281",0.0,0,1.6856329415392685e-05,0.0,0.0,0.0,0,0
652,2016-06-30,0.0003,0.0003,0.0003,0.0003,0.0003,"359,916",0.0,0,1.5846651075479524e-05,0.0,0.0,0.0,0,0
653,2016-07-01,0.0003,0.0003,0.0003,0.0003,0.0003,"270,360",0.0,0,1.487500393081273e-05,0.0,0.0,0.0,0,0
654,2016-07-02,0.0003,0.0003,0.0003,0.0003,0.0003,"159,445",0.0,0,1.3944226208571623e-05,0.0,0.0,0.0,0,0
655,2016-07-03,0.0003,0.0003,0.0003,0.0003,0.0003,"472,627",0.0,0,1.3056075842615559e-05,0.0,0.0,0.0,0,0
656,2016-07-04,0.0003,0.0003,0.0003,0.0003,0.0003,"181,751",0.0,0,1.2211444349714178e-05,0.0,0.0,0.0,0,0
657,2016-07-05,0.0003,0.0003,0.0003,0.0003,0.0003,"182,004",0.0,0,1.1410534270093824e-05,0.0,0.0,0.0,0,0
658,2016-07-06,0.0003,0.0003,0.0003,0.0003,0.0003,"1,777,410",0.0,0,1.065300603939306e-05,0.0,0.0,0.0,0,0
659,2016-07-07,0.0003,0.0003,0.0003,0.0003,0.0003,"238,794",0.0,0,9.938099237113073e-06,0.0,0.0,0.0,0,0
660,2016-07-08,0.0003,0.0003,0.0003,0.0003,0.0003,"247,412",0.0,0,9.264732377923753e-06,0.0,0.0,0.0,0,0
661,2016-07-09,0.0003,0.0003,0.0003,0.0003,0.0003,"146,328",0.0,0,8.631584754593968e-06,0.0,0.0,0.0,0,0
662,2016-07-10,0.0003,0.0003,0.0003,0.0003,0.0003,"116,616",0.0,0,8.037163286120862e-06,0.0,0.0,0.0,0,0
663,2016-07-11,0.0003,0.0003,0.0003,0.0003,0.0003,"223,700",0.0,0,7.479856855993833e-06,0.0,0.0,0.0,0,0
664,2016-07-12,0.0003,0.0003,0.0003,0.0003,0.0003,"382,756",0.0,0,6.957980230042516e-06,0.0,0.0,0.0,0,0
665,2016-07-13,0.0003,0.0003,0.0003,0.0003,0.0003,"228,096",0.0,0,6.469809309652818e-06,0.0,0.0,0.0,0,0
666,2016-07-14,0.0003,0.0003,0.0003,0.0003,0.0003,"161,058",0.0,0,6.013609194707617e-06,0.0,0.0,0.0,0,0
667,2016-07-15,0.0003,0.0003,0.0003,0.0003,0.0003,"120,831",0.0,0,5.587656293315143e-06,0.0,0.0,0.0,0,0
668,2016-07-16,0.0003,0.0003,0.0003,0.0003,0.0003,"82,476",0.0,0,5.190255515377272e-06,0.0,0.0,0.0,0,0
669,2016-07-17,0.0003,0.0003,0.0003,0.0003,0.0003,"125,107",0.0,0,4.819753418527093e-06,0.0,0.0,0.0,0,0
670,2016-07-18,0.0003,0.0003,0.0003,0.0003,0.0003,"232,515",0.0,0,4.4745480330344515e-06,0.0,0.0,0.0,0,0
671,2016-07-19,0.0003,0.0003,0.0002,0.0002,0.0002,"257,203",-9.999999999999996e-05,0,-3.824112004408985e-06,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,0,0
672,2016-07-20,0.0002,0.0002,0.0002,0.0002,0.0002,"174,826",0.0,0,-1.0282331555062235e-05,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-100.0,0.0
673,2016-07-21,0.0002,0.0002,0.0002,0.0002,0.0002,"252,756",0.0,0,-1.5225012609789844e-05,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-100.0,0.0
674,2016-07-22,0.0002,0.0002,0.0002,0.0002,0.0002,"216,280",0.0,0,-1.892397910440791e-05,0.0,-0.33333333333333326,-0.33333333333333326,-100.0,0.0
675,2016-07-23,0.0002,0.0003,0.0002,0.0003,0.0003,"328,851",9.999999999999996e-05,1,-1.3629163918089742e-05,0.4999999999999998,0.0,0.0,-0.0,100.0
676,2016-07-24,0.0003,0.0003,0.0002,0.0002,0.0002,"273,570",-9.999999999999996e-05,0,-1.7302694311508967e-05,0.0,0.0,-0.33333333333333326,-100.0,0.0
677,2016-07-25,0.0002,0.0002,0.0002,0.0002,0.0002,"108,561",0.0,0,-1.9983634713059565e-05,0.0,0.0,-0.33333333333333326,-100.0,0.0
678,2016-07-26,0.0002,0.0002,0.0002,0.0002,0.0002,"206,520",0.0,0,-2.1856352865692505e-05,-0.33333333333333326,0.0,-0.33333333333333326,-100.0,0.0
679,2016-07-27,0.0002,0.0002,0.0002,0.0002,0.0002,"153,832",0.0,0,-2.3074506941223255e-05,0.0,0.0,-0.33333333333333326,-100.0,0.0
680,2016-07-28,0.0002,0.0002,0.0002,0.0002,0.0002,"84,121",0.0,0,-2.3765943815884415e-05,0.0,-0.33333333333333326,-0.33333333333333326,-100.0,0.0
681,2016-07-29,0.0002,0.0002,0.0002,0.0002,0.0002,"98,146",0.0,0,-2.4036830896420825e-05,0.0,0.0,0.0,-100.0,0.0
