date,count,compound,neg,neu,pos,retweets_count,likes_count,replies_count,compound_weighted_replies,compound_weighted_likes,compound_weighted_retweets
2018-01-16,8,0.0426625,0.07125000000000001,0.868,0.06075,345,535,68,0.05063676470588236,-0.058550841121495306,-0.16813999999999996
2018-01-18,2,0.508,0.109,0.724,0.168,34,87,14,0.508,0.508,0.508
2018-01-19,4,0.0,0.0,1.0,0.0,280,820,268,0.0,0.0,0.0
2018-01-20,1,0.0,0.058,0.884,0.058,53,76,0,,0.0,0.0
2018-01-21,18,0.39464444444444446,0.0,0.903111111111111,0.09688888888888887,1260,3710,624,0.2738006410256411,0.28275137466307276,0.3408784126984127
2018-01-22,3,0.765,0.052,0.733,0.216,27,64,9,0.765,0.7650000000000001,0.765
2018-01-23,3,0.0,0.0,1.0,0.0,181,576,99,0.0,0.0,0.0
2018-01-24,9,0.1956,0.033777777777777775,0.911111111111111,0.05511111111111111,78,190,114,0.13610526315789476,0.15449263157894738,0.08135384615384614
2018-01-25,9,0.4798777777777778,0.0,0.8775555555555555,0.12244444444444445,544,821,206,0.5908776699029126,0.5507560292326431,0.5852474264705884
2018-01-27,4,0.0,0.0,1.0,0.0,76,168,32,0.0,0.0,0.0
2018-01-28,2,-0.4019,0.065,0.935,0.0,8,74,18,-0.4019,-0.4019,-0.4019
2018-01-29,4,0.25,0.0,0.961,0.039,84,264,24,0.25,0.25,0.25
2018-01-30,6,0.5779,0.051,0.664,0.28500000000000003,583,818,659,0.961599544764795,0.8010149144254278,0.9261161234991424
2018-02-02,8,0.628,0.0,0.82525,0.17475,570,410,47,0.6978723404255318,0.669619512195122,0.8034975438596491
2018-02-03,12,0.8864,0.0,0.7590000000000002,0.24100000000000008,1336,943,204,0.8863999999999999,0.8863999999999999,0.8864
2018-02-04,6,0.8864,0.0,0.7640000000000001,0.236,804,556,150,0.8864000000000001,0.8864000000000002,0.8864000000000001
2018-02-05,6,0.5632333333333334,0.0,0.8566666666666668,0.1433333333333333,152,240,192,0.6814083333333333,0.6183816666666667,0.6461631578947369
2018-02-06,10,0.73685,0.0205,0.7975000000000001,0.18200000000000002,605,430,219,0.7578086757990867,0.7732988372093023,0.8062404958677687
2018-02-07,7,-0.1027,0.028,0.9719999999999998,0.0,84,455,28,-0.1027,-0.1027,-0.10269999999999999
2018-02-10,5,0.6988,0.0,0.8859999999999999,0.11400000000000002,165,195,185,0.6988,0.6988,0.6988
2018-02-11,3,-0.36800000000000005,0.067,0.902,0.031,111,109,213,-0.368,-0.36799999999999994,-0.368
2018-02-12,15,0.46746000000000004,0.0,0.8970000000000001,0.10300000000000002,2697,3093,4519,0.736786324408055,0.5929149369544132,0.6075310344827588
2018-02-14,5,0.5648,0.061,0.799,0.14,255,249,294,0.5648,0.5648,0.5648
2018-02-16,12,0.1945083333333334,0.024999999999999998,0.8756666666666666,0.09933333333333333,1047,967,361,0.020569806094182814,0.4214551189245089,0.4153662846227315
2018-02-17,1,0.8309,0.0,0.785,0.215,74,73,85,0.8309,0.8309,0.8309
2018-02-18,4,-0.254,0.131,0.78,0.089,232,193,372,-0.254,-0.254,-0.254
2018-02-19,2,0.6808,0.0,0.752,0.248,42,89,10,0.6808,0.6808,0.6808
2018-02-20,1,0.9708,0.0,0.69,0.31,17,54,0,,0.9708,0.9707999999999999
2018-02-21,4,-0.7118,0.141,0.859,0.0,250,220,380,-0.7118,-0.7118,-0.7118
2018-02-22,1,0.5859,0.0,0.703,0.297,15,26,3,0.5859,0.5859,0.5859
2018-02-23,8,0.34835000000000005,0.0955,0.6895000000000001,0.21450000000000002,332,323,372,-0.1611032258064516,0.16210990712074308,0.14310662650602413
2018-02-24,3,-0.08736666666666666,0.05933333333333333,0.852,0.08866666666666667,27,67,7,-0.3473285714285715,-0.1552671641791045,-0.39065555555555553
2018-02-25,1,0.0,0.0,1.0,0.0,12,46,6,0.0,0.0,0.0
2018-02-27,7,0.7645285714285714,0.0,0.8181428571428572,0.18185714285714286,709,951,528,0.764875,0.7644089379600421,0.7647533145275035
2018-02-28,2,0.4767,0.0,0.886,0.114,367,441,410,0.4767,0.4767,0.4767
2018-03-01,9,0.7289666666666667,0.0,0.8404444444444444,0.15955555555555556,493,1290,132,0.8362318181818181,0.6277288372093023,0.642110953346856
2018-03-02,8,0.2007,0.051750000000000004,0.8707500000000001,0.0775,408,459,399,-0.21781503759398488,0.3537773420479303,0.23648431372549025
2018-03-03,4,0.8472,0.0,0.837,0.163,1064,1316,288,0.8472,0.8472,0.8472
2018-03-07,7,0.05654285714285716,0.077,0.8264285714285714,0.09657142857142856,297,478,298,-0.2588630872483222,0.22864225941422595,-0.07682053872053869
2018-03-09,4,0.8353,0.0,0.841,0.159,1351,1715,348,0.8353000000000002,0.8352999999999999,0.8353000000000002
2018-03-10,10,0.65088,0.026000000000000002,0.7829,0.1911,262,296,27,0.7629629629629632,0.461710472972973,0.5902393129770993
2018-03-11,6,-0.010433333333333331,0.08533333333333333,0.8076666666666669,0.10633333333333334,352,486,340,-0.15949647058823527,0.12777716049382717,-0.012405681818181812
2018-03-13,12,0.18033333333333332,0.028666666666666663,0.9089999999999999,0.062,230,542,82,0.29645853658536586,0.10676974169741697,0.19002260869565216
2018-03-15,4,0.8472,0.0,0.84,0.16,936,1148,224,0.8472,0.8472,0.8472
2018-03-16,6,0.22795,0.041,0.8995000000000001,0.06,373,569,12,0.34192500000000003,0.17306572934973638,0.09533565683646113
2018-03-17,1,-0.2593,0.058,0.847,0.095,15,57,0,,-0.2593,-0.2593
2018-03-18,5,0.5255,0.0,0.931,0.069,360,853,90,0.5255,0.5255,0.5255
2018-03-19,4,0.0,0.0,1.0,0.0,76,168,0,,0.0,0.0
2018-03-20,8,0.6445000000000001,0.014,0.8304999999999999,0.15550000000000003,1227,1627,268,0.9055253731343283,0.8085551321450524,0.8545597392013039
2018-03-21,16,0.5673000000000001,0.02275,0.8390000000000002,0.13824999999999998,1491,2031,236,0.8491118644067797,0.7162859675036927,0.7590808853118712
2018-03-22,9,0.5295555555555556,0.009333333333333334,0.8462222222222222,0.144,229,570,29,0.4409931034482758,0.36404771929824553,0.3890742358078602
2018-03-23,4,0.717,0.0,0.864,0.136,64,184,0,,0.717,0.717
2018-03-26,4,0.9001,0.0,0.8,0.2,732,1083,124,0.9001,0.9001,0.9001
2018-03-27,8,0.45025,0.0245,0.8540000000000001,0.1215,180,584,52,0.48488461538461536,0.36390068493150685,0.3001666666666667
2018-03-31,8,0.38895,0.0,0.9255000000000002,0.07450000000000001,120,292,20,0.40662000000000004,0.38531917808219174,0.38502333333333333
2018-04-01,2,0.5719,0.0,0.73,0.27,8,91,4,0.5719,0.5719,0.5719
2018-04-02,3,0.4314,0.038,0.878,0.084,6,101,15,0.4314,0.43139999999999995,0.4314
2018-04-03,7,0.0,0.0,1.0,0.0,170,321,35,0.0,0.0,0.0
2018-04-05,5,0.72778,0.0408,0.7121999999999999,0.24699999999999997,109,224,10,0.72778,0.6757000000000001,0.6016412844036698
2018-04-06,21,0.7749571428571429,0.0,0.7873333333333333,0.21266666666666664,561,1273,100,0.748728,0.7723246661429692,0.7773869875222816
2018-04-07,13,0.28572307692307697,0.0,0.9535384615384616,0.04646153846153846,139,359,21,0.353752380952381,0.34690807799442896,0.3473899280575539
2018-04-09,1,0.6808,0.0,0.817,0.183,4,45,21,0.6808,0.6808,0.6808
2018-04-10,3,0.4199,0.0,0.9419999999999998,0.058,60,216,18,0.4199,0.41990000000000005,0.4199
2018-04-11,14,0.6685142857142858,0.0,0.8262857142857144,0.17371428571428574,2615,2858,70,0.7195314285714284,0.7415111266620013,0.7371238240917781
2018-04-12,3,0.5928333333333334,0.007666666666666666,0.8356666666666667,0.15666666666666665,54,156,26,0.4755769230769232,0.5664506410256411,0.5928333333333333
2018-04-13,20,0.22099999999999995,0.0,0.9477499999999998,0.05225,824,1796,340,0.263,0.29778396436525617,0.29089805825242715
2018-04-14,3,0.0,0.0,1.0,0.0,63,162,3,0.0,0.0,0.0
2018-04-15,7,0.4215,0.0,0.928,0.072,168,326,42,0.4215,0.4215,0.4215
2018-04-16,4,0.0,0.0,1.0,0.0,549,642,40,0.0,0.0,0.0
2018-04-21,5,0.11460000000000001,0.0212,0.9301999999999999,0.0486,2322,2299,50,0.046980000000000015,-0.19114593301435406,-0.20918195521102495
2018-04-23,2,0.5756,0.0,0.868,0.132,6,90,4,0.5756,0.5756,0.5756
2018-04-24,12,0.06713333333333334,0.023333333333333334,0.9473333333333332,0.029999999999999995,3913,3834,64,0.1007,0.0980735002608242,0.09967061078456425
2018-04-25,4,0.9647,0.0,0.632,0.368,28,88,0,,0.9647000000000001,0.9647
2018-04-26,7,0.20229999999999998,0.0,0.947,0.053,594,931,231,0.20229999999999998,0.2023,0.20229999999999995
2018-04-28,12,0.7654333333333333,0.0,0.8163333333333332,0.18366666666666664,468,1084,88,0.7556727272727273,0.7934014760147601,0.7909965811965813
2018-04-29,4,0.5848,0.0,0.891,0.109,2035,1958,36,0.5848,0.5848000000000001,0.5848
2018-04-30,9,0.7147666666666666,0.0,0.8283333333333334,0.17166666666666666,3922,3985,69,0.7142565217391303,0.7168917691342533,0.7171682304946456
2018-05-01,15,0.5243333333333333,0.0,0.8672,0.1328,3971,4142,197,0.8112781725888325,0.7752043698696282,0.7901005540166206
2018-05-03,2,0.7263,0.0,0.747,0.253,61,150,16,0.7263,0.7263,0.7263
2018-05-04,4,0.7845,0.0,0.85,0.15,36,112,12,0.7845,0.7845000000000001,0.7845
2018-05-05,4,0.6892,0.0,0.904,0.096,52,116,0,,0.6892,0.6892
2018-05-06,4,0.5837,0.0,0.881,0.119,148,304,4,0.5837,0.5837,0.5837
2018-05-08,15,0.7480666666666667,0.0,0.8537333333333336,0.14626666666666668,2372,2690,557,0.7461432675044883,0.7979182156133827,0.8088137858347385
2018-05-09,3,0.9627,0.0,0.706,0.294,21,96,6,0.9627,0.9627,0.9627
2018-05-11,3,0.4926,0.056,0.8080000000000002,0.136,144,375,39,0.4925999999999999,0.4926,0.4926
2018-05-12,1,0.5106,0.0,0.914,0.086,17,30,2,0.5106,0.5106,0.5106
2018-05-15,3,-0.36210000000000003,0.08800000000000001,0.912,0.0,33,57,6,-0.36210000000000003,-0.3621,-0.3621
2018-05-16,3,0.4497,0.06899999999999999,0.7173333333333334,0.21366666666666667,273,638,89,0.5951741573033708,7.39811912225763e-05,0.6186538461538461
2018-05-17,5,0.29824,0.0,0.9,0.1,456,663,41,0.3637073170731708,0.3328772247360483,0.20602105263157894
2018-05-18,4,0.7033,0.0,0.86,0.14,36,108,12,0.7033,0.7033,0.7033
2018-05-20,6,0.28099999999999997,0.0,0.96,0.04,250,614,62,0.19035483870967743,0.36795439739413677,0.411384
2018-05-23,3,0.49510000000000004,0.039,0.8210000000000001,0.14,6,75,15,0.49509999999999993,0.4951,0.49510000000000004
2018-05-24,6,0.8268000000000001,0.0,0.814,0.18599999999999997,198,510,18,0.8268,0.8268,0.8268
2018-05-25,2,0.8928,0.0,0.75,0.25,6,54,12,0.8927999999999999,0.8928000000000001,0.8927999999999999
2018-05-29,6,0.7755,0.0,0.8100000000000002,0.18999999999999997,79,150,18,0.7754999999999999,0.7755,0.7754999999999999
2018-06-01,1,-0.2942,0.096,0.83,0.074,63,328,11,-0.2942,-0.2942,-0.2942
2018-06-03,5,0.82236,0.0224,0.7562,0.22140000000000004,87,183,9,0.7399333333333333,0.8851934426229507,0.9033655172413793
2018-06-04,1,0.5574,0.0,0.69,0.31,4,21,0,,0.5574,0.5574
2018-06-05,5,0.47539999999999993,0.0,0.8986000000000001,0.1014,61,176,33,0.4754,0.4754,0.4754
2018-06-07,4,0.9512,0.0,0.719,0.281,52,140,16,0.9512,0.9512,0.9512
2018-06-08,4,0.0,0.0,1.0,0.0,60,127,4,0.0,0.0,0.0
2018-06-11,3,0.0,0.0,1.0,0.0,91,142,21,0.0,0.0,0.0
2018-06-12,3,0.6164666666666667,0.0,0.7866666666666666,0.21333333333333335,291,162,34,0.7821764705882354,0.6490716049382715,0.9613395189003436
2018-06-13,4,0.6992499999999999,0.0,0.8554999999999999,0.14450000000000002,106,138,4,0.6992499999999999,0.6549724637681159,0.646311320754717
2018-06-14,1,-0.5848,0.124,0.876,0.0,1,14,4,-0.5848,-0.5848000000000001,-0.5848
2018-06-16,5,-0.296,0.081,0.9190000000000002,0.0,50,175,15,-0.296,-0.296,-0.29600000000000004
2018-06-17,2,0.57555,0.0,0.8734999999999999,0.1265,13,44,4,0.5262,0.5531181818181818,0.5413846153846154
2018-06-18,2,0.8355,0.0,0.806,0.194,70,80,14,0.8355,0.8355,0.8355
2018-06-24,4,0.823,0.0,0.793,0.207,60,188,0,,0.823,0.823
2018-06-25,6,0.07630000000000002,0.05266666666666667,0.9090000000000001,0.03833333333333334,84,197,6,0.07630000000000002,0.036864467005076125,-0.051757142857142856
2018-06-26,3,0.0,0.0,1.0,0.0,63,84,9,0.0,0.0,0.0
2018-06-28,4,0.212825,0.0,0.9490000000000001,0.051,292,510,30,0.5959099999999999,0.37056588235294113,0.16909383561643834
2018-07-01,3,0.92,0.0,0.758,0.242,24,75,15,0.92,0.92,0.92
2018-07-15,4,0.5488,0.0,0.8845000000000001,0.1155,14,126,5,0.5410999999999999,0.5477,0.5652999999999999
2018-07-16,2,0.0,0.0,1.0,0.0,1503,861,372,0.0,0.0,0.0
2018-07-17,4,-0.05670000000000003,0.0855,0.8575,0.057,50,176,28,-0.3299571428571429,-0.2305909090909091,-0.267108
2018-07-21,1,0.865,0.0,0.801,0.199,10,27,4,0.865,0.865,0.865
2018-07-22,9,0.23416666666666666,0.0,0.9688888888888888,0.031111111111111114,99,249,20,0.4215,0.21159638554216867,0.23416666666666663
2018-07-23,1,0.5093,0.0,0.904,0.096,11,39,0,,0.5093,0.5093
2018-07-28,3,0.4575666666666667,0.007666666666666666,0.918,0.074,88,287,16,0.1779,0.22467351916376307,0.282775
2018-07-29,1,0.0,0.0,1.0,0.0,3,42,12,0.0,0.0,0.0
2018-07-30,2,0.0,0.0,1.0,0.0,24,62,6,0.0,0.0,0.0
2018-08-01,3,0.3612,0.0,0.8889999999999999,0.111,42,116,21,0.3612,0.3612,0.3612
2018-08-03,1,0.6114,0.0,0.883,0.117,49,108,10,0.6114,0.6114000000000002,0.6114
2018-08-05,1,0.8745,0.0,0.818,0.182,10,45,12,0.8744999999999999,0.8744999999999999,0.8745
2018-08-08,2,0.7269,0.0,0.816,0.184,164,1761,4,0.7269,0.7269000000000001,0.7269
2018-08-09,6,0.0,0.0,1.0,0.0,98,269,30,0.0,0.0,0.0
2018-08-12,1,-0.3289,0.122,0.786,0.091,31,132,23,-0.3289,-0.3289,-0.3289
2018-08-17,2,0.75,0.0,0.783,0.217,12,45,12,0.75,0.75,0.75
2018-08-21,3,0.3818,0.0,0.9090000000000001,0.09100000000000001,15,59,18,0.3818,0.3817999999999999,0.3818
2018-08-23,5,0.57216,0.0,0.763,0.23700000000000002,41,149,31,0.6459870967741935,0.6528,0.627980487804878
2018-08-24,1,0.7579,0.0,0.606,0.394,2,18,0,,0.7579,0.7579
2018-08-25,3,0.7406,0.025000000000000005,0.848,0.127,87,186,9,0.7406,0.7405999999999999,0.7405999999999999
2018-08-29,1,0.7592,0.0,0.88,0.12,38,44,4,0.7592,0.7592,0.7592
2018-08-30,3,0.0,0.0,1.0,0.0,45,114,6,0.0,0.0,0.0
2018-08-31,7,0.5631,0.0,0.856,0.144,85,247,15,0.55784,0.5747080971659919,0.6410176470588235
