,Date,Close/Last,Volume,Open,High,Low,label
1054,11/06/2018,1226.3,188660.0,1233.4,1237.8,1224.9,0.0
1055,11/07/2018,1228.7,252072.0,1228.9,1238.4,1224.2,1.0
1056,11/08/2018,1225.1,229614.0,1227.7,1228.5,1220.8,0.0
1057,11/09/2018,1208.6,306462.0,1224.3,1224.6,1207.2,0.0
1058,11/12/2018,1201.3,1.0,1201.6,1201.6,1201.6,0.0
1059,11/13/2018,1199.2,5.0,1196.3,1201.3,1196.3,0.0
1060,11/14/2018,1210.1,268788.0,1202.8,1217.2,1198.1,1.0
1061,11/15/2018,1215.0,234966.0,1211.8,1217.0,1207.1,1.0
1062,11/16/2018,1223.0,237367.0,1214.4,1226.0,1213.7,1.0
1063,11/19/2018,1225.3,189907.0,1222.6,1226.5,1218.5,1.0
1064,11/20/2018,1221.2,245888.0,1224.6,1229.5,1220.3,0.0
1065,11/21/2018,1225.8,,1225.8,1225.8,1225.8,1.0
1066,11/23/2018,1223.2,234908.0,1227.8,1229.7,1220.3,0.0
1067,11/26/2018,1228.7,141646.0,1230.4,1234.5,1228.0,1.0
1068,11/27/2018,1219.9,132694.0,1228.5,1231.7,1217.8,0.0
1069,11/28/2018,1229.8,199518.0,1220.9,1233.8,1216.8,1.0
1070,11/29/2018,1230.4,229628.0,1227.1,1234.9,1226.7,1.0
1071,11/30/2018,1226.0,158763.0,1229.9,1231.1,1221.8,0.0
1072,12/03/2018,1239.6,233816.0,1227.8,1240.4,1226.6,1.0
1073,12/04/2018,1246.6,214514.0,1236.3,1247.5,1235.8,1.0
1074,12/05/2018,1242.6,104283.0,1244.6,1244.8,1238.7,0.0
1075,12/06/2018,1243.6,238860.0,1243.0,1249.9,1240.0,1.0
1076,12/07/2018,1252.6,215414.0,1243.1,1255.8,1242.6,1.0
1077,12/10/2018,1249.4,190957.0,1255.6,1256.6,1246.9,0.0
1078,12/11/2018,1247.2,176025.0,1249.8,1255.1,1245.8,0.0
1079,12/12/2018,1250.0,144462.0,1248.3,1252.6,1247.1,1.0
1080,12/13/2018,1247.4,148496.0,1250.7,1251.7,1244.4,0.0
1081,12/14/2018,1241.4,183625.0,1246.2,1247.3,1236.5,0.0
1082,12/17/2018,1251.8,156508.0,1242.8,1252.2,1239.4,1.0
1083,12/18/2018,1253.6,164361.0,1249.7,1254.5,1249.0,1.0
1084,12/19/2018,1256.4,261331.0,1253.5,1262.2,1245.3,1.0
1085,12/20/2018,1267.9,303814.0,1247.0,1270.3,1246.2,1.0
1086,12/21/2018,1258.1,200024.0,1263.5,1266.2,1257.1,0.0
1087,12/24/2018,1271.8,130455.0,1260.7,1273.9,1260.0,1.0
1088,12/26/2018,1273.0,198175.0,1273.5,1282.3,1267.4,1.0
1089,12/27/2018,1281.1,200717.0,1270.1,1281.6,1269.1,1.0
1090,12/28/2018,1283.0,155354.0,1278.0,1284.7,1276.5,1.0
1091,12/31/2018,1281.3,108913.0,1283.0,1286.5,1279.7,0.0
1092,01/02/2019,1284.1,222578.0,1285.0,1291.0,1280.6,1.0
1093,01/03/2019,1294.8,229532.0,1288.5,1296.9,1286.4,1.0
1094,01/04/2019,1285.8,299076.0,1296.5,1300.4,1278.1,0.0
1095,01/07/2019,1289.9,197176.0,1287.0,1297.0,1284.1,1.0
1096,01/08/2019,1285.9,206439.0,1289.9,1291.4,1280.2,0.0
1097,01/09/2019,1292.0,232491.0,1286.1,1295.0,1280.9,1.0
1098,01/10/2019,1287.4,227942.0,1294.7,1298.0,1286.7,0.0
1099,01/11/2019,1289.5,200393.0,1287.6,1295.7,1287.0,1.0
1100,01/14/2019,1289.1,7.0,1292.4,1293.9,1289.9,0.0
1101,01/15/2019,1288.4,229624.0,1292.4,1294.8,1286.5,0.0
1102,01/16/2019,1293.8,173284.0,1289.6,1295.4,1287.6,1.0
1103,01/17/2019,1292.3,188241.0,1293.9,1295.0,1288.3,0.0
1104,01/18/2019,1282.6,100826.0,1280.7,1283.0,1276.0,0.0
1105,01/22/2019,1283.4,307704.0,1279.1,1285.0,1276.0,1.0
1106,01/23/2019,1290.2,60819.0,1290.8,1292.1,1284.0,1.0
1107,01/24/2019,1285.9,68784.0,1288.3,1290.0,1281.5,0.0
1108,01/25/2019,1304.2,87878.0,1286.0,1309.3,1284.8,1.0
1109,01/28/2019,1309.3,122869.0,1308.5,1309.8,1302.7,1.0
1110,01/29/2019,1315.2,171769.0,1308.5,1317.1,1307.8,1.0
1111,01/30/2019,1315.5,262539.0,1317.0,1328.6,1313.5,1.0
1112,01/31/2019,1325.2,215552.0,1325.4,1331.1,1322.2,1.0
1113,02/01/2019,1322.1,192924.0,1326.0,1328.2,1320.6,0.0
1114,02/04/2019,1319.3,147699.0,1322.6,1323.6,1312.7,0.0
1115,02/05/2019,1319.2,122758.0,1316.8,1321.0,1314.8,0.0
1116,02/06/2019,1314.4,133244.0,1319.4,1319.9,1309.6,0.0
1117,02/07/2019,1314.2,159728.0,1310.9,1315.8,1306.4,0.0
1118,02/08/2019,1318.5,131864.0,1314.3,1319.5,1311.5,1.0
1119,02/11/2019,1307.0,119.0,1313.4,1313.4,1304.7,0.0
1120,02/12/2019,1314.0,144119.0,1311.6,1318.3,1310.0,1.0
1121,02/13/2019,1310.8,143.0,1311.6,1316.0,1308.1,0.0
1122,02/14/2019,1313.9,219485.0,1309.6,1317.4,1304.7,1.0
1123,02/15/2019,1322.1,91941.0,1325.0,1330.8,1323.8,1.0
1124,02/19/2019,1344.8,334325.0,1329.2,1345.0,1323.8,1.0
1125,02/20/2019,1347.9,235291.0,1343.9,1349.8,1339.8,1.0
1126,02/21/2019,1327.8,277389.0,1341.7,1344.3,1323.3,0.0
1127,02/22/2019,1332.8,236737.0,1325.8,1335.6,1323.8,1.0
1128,02/25/2019,1329.5,176322.0,1331.9,1334.9,1327.3,0.0
1129,02/26/2019,1328.5,179292.0,1329.9,1332.4,1325.5,0.0
1130,02/27/2019,1317.7,604.0,1327.7,1327.9,1316.5,0.0
1131,02/28/2019,1316.1,238804.0,1321.7,1328.9,1314.0,0.0
1132,03/01/2019,1299.2,328780.0,1315.5,1316.5,1291.3,0.0
1133,03/04/2019,1287.5,253631.0,1294.4,1298.1,1283.8,0.0
1134,03/05/2019,1284.7,207640.0,1287.8,1290.6,1282.0,0.0
1135,03/06/2019,1287.6,187195.0,1288.8,1291.8,1284.3,1.0
1136,03/07/2019,1286.1,246103.0,1287.3,1289.6,1280.8,0.0
1137,03/08/2019,1299.3,270805.0,1286.7,1301.3,1285.6,1.0
1138,03/11/2019,1291.1,187305.0,1298.2,1299.2,1290.6,0.0
1139,03/12/2019,1296.3,1.0,1294.7,1294.7,1294.7,1.0
1140,03/13/2019,1309.3,204246.0,1301.8,1311.6,1300.6,1.0
1141,03/14/2019,1293.4,1.0,1293.4,1293.4,1293.4,0.0
1142,03/15/2019,1302.9,224685.0,1295.6,1306.3,1293.7,1.0
1143,03/18/2019,1301.5,172561.0,1302.0,1306.7,1298.0,0.0
1144,03/19/2019,1306.5,203029.0,1303.7,1310.8,1302.1,1.0
1145,03/20/2019,1300.5,2.0,1300.7,1300.7,1300.7,0.0
1146,03/21/2019,1313.6,59829.0,1318.6,1326.3,1309.1,1.0
1147,03/22/2019,1318.7,78716.0,1315.4,1320.9,1312.8,1.0
1148,03/25/2019,1329.0,83949.0,1319.7,1330.8,1317.0,1.0
1149,03/26/2019,1321.4,119776.0,1328.3,1329.3,1318.5,0.0
1150,03/27/2019,1316.9,197067.0,1321.7,1325.2,1313.7,0.0
1151,03/28/2019,1295.3,407079.0,1315.0,1317.6,1293.3,0.0
1152,03/29/2019,1298.5,260381.0,1295.0,1304.6,1291.3,1.0
1153,04/01/2019,1294.2,229896.0,1297.2,1301.7,1291.0,0.0
1154,04/02/2019,1295.4,190667.0,1292.2,1297.1,1289.5,1.0
1155,04/03/2019,1295.3,186420.0,1296.9,1299.0,1292.7,0.0
1156,04/04/2019,1294.3,250306.0,1294.4,1298.7,1284.9,0.0
1157,04/05/2019,1295.6,227617.0,1296.5,1297.8,1288.3,1.0
1158,04/08/2019,1297.1,63.0,1292.2,1302.1,1291.8,1.0
1159,04/09/2019,1308.3,196670.0,1301.6,1310.4,1300.6,1.0
1160,04/10/2019,1313.9,212949.0,1308.2,1314.7,1304.7,1.0
1161,04/11/2019,1293.3,311101.0,1312.4,1313.1,1292.9,0.0
1162,04/12/2019,1295.2,185177.0,1295.8,1299.1,1293.2,1.0
1163,04/15/2019,1291.3,222209.0,1294.0,1295.2,1285.3,0.0
1164,04/16/2019,1277.2,308866.0,1290.8,1291.7,1275.5,0.0
1165,04/17/2019,1276.8,209965.0,1279.5,1282.1,1275.2,0.0
1166,04/18/2019,1276.0,219695.0,1276.2,1279.7,1273.0,0.0
1167,04/22/2019,1277.6,133327.0,1278.0,1281.9,1275.7,1.0
1168,04/23/2019,1273.2,271377.0,1277.0,1278.5,1267.9,0.0
1169,04/24/2019,1279.4,235966.0,1274.4,1280.7,1270.5,1.0
1170,04/25/2019,1279.7,230543.0,1277.9,1284.8,1275.2,1.0
1171,04/26/2019,1288.8,268033.0,1279.1,1290.9,1276.0,1.0
1172,04/29/2019,1281.5,199297.0,1289.0,1289.1,1279.9,0.0
1173,04/30/2019,1282.8,114.0,1281.7,1283.3,1280.8,1.0
1174,05/01/2019,1284.2,269944.0,1285.2,1289.4,1274.5,1.0
1175,05/02/2019,1272.0,273895.0,1278.5,1279.4,1267.3,0.0
1176,05/03/2019,1281.3,269353.0,1271.6,1283.9,1269.0,1.0
1177,05/06/2019,1283.8,240672.0,1281.8,1287.4,1278.1,1.0
1178,05/07/2019,1285.6,241502.0,1282.4,1287.3,1279.1,1.0
1179,05/08/2019,1281.4,288297.0,1285.6,1292.8,1280.2,0.0
1180,05/09/2019,1285.2,296815.0,1281.9,1289.2,1280.4,1.0
1181,05/10/2019,1287.4,227237.0,1285.0,1290.3,1283.9,1.0
1182,05/13/2019,1301.8,362480.0,1288.3,1302.2,1282.4,1.0
1183,05/14/2019,1296.3,215009.0,1300.8,1304.2,1294.3,0.0
1184,05/15/2019,1297.8,241040.0,1298.0,1301.7,1293.6,1.0
1185,05/16/2019,1286.2,256906.0,1297.7,1299.3,1284.2,0.0
1186,05/17/2019,1275.7,255125.0,1287.2,1289.0,1274.6,0.0
1187,05/20/2019,1277.3,206270.0,1277.6,1278.8,1273.3,1.0
1188,05/21/2019,1273.2,204984.0,1277.7,1277.7,1269.0,0.0
1189,05/22/2019,1274.2,186404.0,1274.4,1277.1,1272.0,1.0
1190,05/23/2019,1291.0,71630.0,1278.5,1292.5,1277.5,1.0
1191,05/24/2019,1289.2,23685.0,1289.2,1292.6,1288.9,0.0
1192,05/28/2019,1282.5,207053.0,1290.5,1292.6,1280.8,0.0
1193,05/29/2019,1286.3,194696.0,1284.3,1290.3,1283.8,1.0
1194,05/30/2019,1287.1,55573.0,1279.4,1288.3,1273.9,1.0
1195,05/31/2019,1311.1,322176.0,1293.2,1311.9,1292.5,1.0
1196,06/03/2019,1327.9,347054.0,1312.5,1333.0,1310.9,1.0
1197,06/04/2019,1323.4,302.0,1324.3,1328.6,1320.8,0.0
1198,06/05/2019,1333.6,391880.0,1330.2,1348.9,1329.3,1.0
1199,06/06/2019,1342.7,252464.0,1336.1,1344.2,1331.3,1.0
1200,06/07/2019,1346.1,314048.0,1339.7,1352.7,1334.3,1.0
1201,06/10/2019,1329.3,220533.0,1341.2,1341.7,1329.0,0.0
1202,06/11/2019,1331.2,204179.0,1331.8,1333.8,1323.6,1.0
1203,06/12/2019,1336.8,226929.0,1330.6,1342.3,1329.8,1.0
1204,06/13/2019,1343.7,197876.0,1337.8,1347.0,1335.9,1.0
1205,06/14/2019,1344.5,346086.0,1346.5,1362.2,1341.4,1.0
1206,06/17/2019,1342.9,230833.0,1345.5,1347.1,1336.6,0.0
1207,06/18/2019,1350.7,364839.0,1343.9,1358.5,1342.1,1.0
1208,06/19/2019,1348.8,320720.0,1350.4,1366.6,1344.8,0.0
1209,06/20/2019,1396.9,511767.0,1364.5,1397.7,1361.3,1.0
1210,06/21/2019,1400.1,496645.0,1391.2,1415.4,1386.1,1.0
1211,06/24/2019,1418.2,359931.0,1403.9,1425.1,1403.6,1.0
1212,06/25/2019,1418.7,618309.0,1423.4,1442.9,1415.1,1.0
1213,06/26/2019,1411.6,84.0,1407.2,1413.3,1405.8,0.0
1214,06/27/2019,1412.0,324556.0,1412.7,1415.3,1401.4,1.0
1215,06/28/2019,1409.7,297964.0,1413.3,1427.8,1408.6,0.0
1216,07/01/2019,1385.6,214.0,1386.6,1395.8,1382.8,0.0
1217,07/02/2019,1408.0,372203.0,1386.2,1424.0,1386.2,1.0
1218,07/03/2019,1420.9,118832.0,1421.6,1424.4,1412.7,1.0
1219,07/05/2019,1400.1,555564.0,1418.8,1426.8,1388.6,0.0
1220,07/08/2019,1400.0,303906.0,1401.0,1409.9,1393.8,0.0
1221,07/09/2019,1400.5,276008.0,1397.9,1402.4,1387.5,1.0
1222,07/10/2019,1412.5,426438.0,1400.0,1421.1,1391.8,1.0
1223,07/11/2019,1406.7,380765.0,1421.1,1429.4,1402.7,0.0
1224,07/12/2019,1412.2,272092.0,1406.2,1418.9,1404.5,1.0
1225,07/15/2019,1413.5,231266.0,1417.7,1421.6,1409.3,1.0
1226,07/16/2019,1411.2,327180.0,1416.4,1420.0,1402.1,0.0
1227,07/17/2019,1421.3,6.0,1404.6,1404.6,1404.6,1.0
1228,07/18/2019,1428.1,467773.0,1428.5,1449.7,1415.6,1.0
1229,07/19/2019,1426.7,509138.0,1448.3,1454.4,1421.1,0.0
1230,07/22/2019,1426.9,247608.0,1428.5,1430.8,1423.0,1.0
1231,07/23/2019,1421.7,380116.0,1426.0,1431.4,1414.6,0.0
1232,07/24/2019,1436.5,65218.0,1431.0,1442.9,1429.4,1.0
1233,07/25/2019,1427.5,112902.0,1439.3,1447.0,1423.9,0.0
1234,07/26/2019,1432.2,5.0,1422.8,1423.0,1422.8,1.0
1235,07/29/2019,1433.3,168447.0,1431.9,1440.8,1427.5,1.0
1236,07/30/2019,1441.8,248318.0,1439.5,1445.7,1434.8,1.0
1237,07/31/2019,1437.8,406886.0,1443.7,1447.8,1422.3,0.0
1238,08/01/2019,1432.4,567523.0,1425.6,1458.2,1412.1,0.0
1239,08/02/2019,1457.5,471109.0,1457.5,1461.9,1442.5,1.0
1240,08/05/2019,1464.6,1008.0,1440.4,1469.7,1440.4,1.0
1241,08/06/2019,1484.2,375937.0,1481.1,1486.8,1468.2,1.0
1242,08/07/2019,1507.3,824.0,1473.5,1509.9,1473.2,1.0
1243,08/08/2019,1509.5,385340.0,1512.1,1521.3,1501.6,1.0
1244,08/09/2019,1508.5,325590.0,1515.9,1521.1,1506.2,0.0
1245,08/12/2019,1517.2,338340.0,1509.2,1531.5,1498.6,1.0
